price,miles,year,make,model,engine_size,state
4980.0,86132.0,2001.0,toyota,Prius,1.5,BC
18926.0,80516.0,2017.0,toyota,Prius,1.8,ON
23900.0,29295.0,2018.0,toyota,Prius,1.8,ON
27980.0,57894.0,2018.0,toyota,Prius,1.8,BC
22887.0,95106.0,2016.0,toyota,Prius,1.8,AB
20900.0,78000.0,2016.0,toyota,Prius,1.8,QC
16497.0,123072.0,2017.0,toyota,Prius,1.8,ON
16497.0,123072.0,2017.0,toyota,Prius,1.8,ON
16497.0,123072.0,2017.0,toyota,Prius,1.8,ON
19988.0,80000.0,2018.0,toyota,Prius,1.8,ON
18888.0,82908.0,2017.0,toyota,Prius,1.8,QC
26900.0,29575.0,2018.0,toyota,Prius,1.8,ON
23763.0,39350.0,2018.0,toyota,Prius,1.8,ON
23763.0,39350.0,2018.0,toyota,Prius,1.8,ON
28998.0,29852.0,2020.0,toyota,Prius,1.8,NS
24322.0,39653.0,2018.0,toyota,Prius,1.8,BC
20000.0,51456.0,2017.0,toyota,Prius,1.8,ON
17395.0,84937.0,2017.0,toyota,Prius,1.8,QC
18995.0,89000.0,2017.0,toyota,Prius,1.8,QC
24495.0,23636.0,2019.0,toyota,Prius,1.8,QC
18488.0,76478.0,2017.0,toyota,Prius,1.8,QC
19450.0,48815.0,2017.0,toyota,Prius,1.8,QC
19450.0,48815.0,2017.0,toyota,Prius,1.8,QC
19450.0,48815.0,2017.0,toyota,Prius,1.8,QC
19450.0,48815.0,2017.0,toyota,Prius,1.8,QC
19450.0,48815.0,2017.0,toyota,Prius,1.8,QC
19999.0,47305.0,2016.0,toyota,Prius,1.8,ON
19695.0,31391.0,2017.0,toyota,Prius,1.8,QC
16995.0,113825.0,2017.0,toyota,Prius,1.8,ON
21980.0,38000.0,2017.0,toyota,Prius,1.8,MB
29995.0,6871.0,2018.0,toyota,Prius,1.8,ON
19495.0,113186.0,2018.0,toyota,Prius,1.8,ON
17858.0,101720.0,2018.0,toyota,Prius,1.8,ON
19995.0,101000.0,2018.0,toyota,Prius,1.8,NS
24998.0,40291.0,2018.0,toyota,Prius,1.8,ON
17998.0,106509.0,2018.0,toyota,Prius,1.8,QC
17998.0,106509.0,2018.0,toyota,Prius,1.8,QC
17998.0,106509.0,2018.0,toyota,Prius,1.8,QC
17998.0,106509.0,2018.0,toyota,Prius,1.8,QC
17998.0,106509.0,2018.0,toyota,Prius,1.8,QC
17998.0,106509.0,2018.0,toyota,Prius,1.8,QC
17998.0,106509.0,2018.0,toyota,Prius,1.8,QC
19339.0,59057.0,2016.0,toyota,Prius,1.8,QC
19339.0,59057.0,2016.0,toyota,Prius,1.8,QC
24711.0,34210.0,2018.0,toyota,Prius,1.8,ON
26995.0,16451.0,2018.0,toyota,Prius,1.8,BC
26995.0,16451.0,2018.0,toyota,Prius,1.8,BC
24900.0,25840.0,2018.0,toyota,Prius,1.8,ON
8495.0,127742.0,2008.0,toyota,Prius,1.5,ON
5298.0,169404.0,2004.0,toyota,Prius,1.5,ON
4999.0,295002.0,2009.0,toyota,Prius,1.5,ON
5980.0,206872.0,2004.0,toyota,Prius,1.5,BC
12995.0,126000.0,2007.0,toyota,Prius,1.5,BC
4999.0,292198.0,2009.0,toyota,Prius,1.5,ON
3710.0,237780.0,2004.0,toyota,Prius,1.5,ON
7900.0,122067.0,2007.0,toyota,Prius,1.5,BC
7999.0,188100.0,2009.0,toyota,Prius,1.5,ON
7998.0,189590.0,2009.0,toyota,Prius,1.5,SK
4995.0,176924.0,2008.0,toyota,Prius,1.5,QC
6999.0,175500.0,2009.0,toyota,Prius,1.5,ON
5999.0,142000.0,2004.0,toyota,Prius,1.5,ON
8106.0,249856.0,2009.0,toyota,Prius,1.5,AB
6995.0,184000.0,2009.0,toyota,Prius,1.5,ON
8900.0,190330.0,2006.0,toyota,Prius,1.5,BC
5900.0,211295.0,2005.0,toyota,Prius,1.5,BC
